u,w,shift_x,shift_y,align,n_on_top,n_clash,min_r_Hf_Sr,O_O_stack,d_min
0.0000,0.0000,0.0000,0.0000,0.1325,1,14,0.1415,5,2.2548
0.0000,0.0182,-0.0317,0.0634,0.1362,1,14,0.1530,5,2.2541
0.0000,0.0364,-0.0634,0.1268,0.1403,2,14,0.1919,5,2.2557
0.0000,0.0545,-0.0951,0.1902,0.1447,2,13,0.2455,5,2.2595
0.0000,0.0727,-0.1268,0.2536,0.1491,2,12,0.3063,5,2.2655
0.0000,0.0909,-0.1585,0.3171,0.1535,3,14,0.3706,5,2.2738
0.0000,0.1091,-0.1902,0.3805,0.1575,3,13,0.4370,5,2.2841
0.0000,0.1273,-0.2219,0.4439,0.1611,3,13,0.5047,6,2.2967
0.0000,0.1455,-0.2536,0.5073,0.1641,3,15,0.5074,6,2.3113
0.0000,0.1636,-0.2853,0.5707,0.1665,3,15,0.4913,5,2.3110
0.0000,0.1818,-0.3171,0.6341,0.1682,3,15,0.4439,5,2.3000
0.0000,0.2000,-0.3488,0.6975,0.1693,3,16,0.4033,4,2.2911
0.0000,0.2182,-0.3805,0.7609,0.1701,3,16,0.3720,4,2.2844
0.0000,0.2364,-0.4122,0.8243,0.1705,3,16,0.3524,4,2.2799
0.0000,0.2545,-0.4439,0.8877,0.1709,3,18,0.3464,4,2.2776
0.0000,0.2727,-0.4756,0.9512,0.1713,3,17,0.3548,5,2.2775
0.0000,0.2909,-0.5073,1.0146,0.1718,3,18,0.3766,5,2.2797
0.0000,0.3091,-0.5390,1.0780,0.1728,3,18,0.4096,5,2.2840
0.0000,0.3273,-0.5707,1.1414,0.1740,4,18,0.4515,5,2.2905
0.0000,0.3455,-0.6024,1.2048,0.1753,3,18,0.4778,5,2.2991
0.0000,0.3636,-0.6341,1.2682,0.1765,4,18,0.4771,5,2.3100
0.0000,0.3818,-0.6658,1.3316,0.1774,4,18,0.4868,5,2.3126
0.0000,0.4000,-0.6975,1.3950,0.1780,4,16,0.5064,5,2.2978
0.0000,0.4182,-0.7292,1.4584,0.1778,4,16,0.5347,5,2.2851
0.0000,0.4364,-0.7609,1.5218,0.1770,4,15,0.5704,6,2.2745
0.0000,0.4545,-0.7926,1.5853,0.1753,3,14,0.5899,6,2.2661
0.0000,0.4727,-0.8243,1.6487,0.1728,3,14,0.5190,7,2.2599
0.0000,0.4909,-0.8560,1.7121,0.1695,3,14,0.4481,6,2.2559
0.0000,0.5091,-0.8877,1.7755,0.1656,3,14,0.3773,5,2.2542
0.0000,0.5273,-0.9194,1.8389,0.1613,3,14,0.3064,4,2.2547
0.0000,0.5455,-0.9512,1.9023,0.1568,3,14,0.2356,4,2.2573
0.0000,0.5636,-0.9829,1.9657,0.1523,2,15,0.1648,4,2.2623
0.0000,0.5818,-1.0146,2.0291,0.1481,1,16,0.0942,5,2.2694
0.0000,0.6000,-1.0463,2.0925,0.1443,2,17,0.0253,5,2.2787
0.0000,0.6182,-1.0780,2.1559,0.1409,2,16,0.0496,5,2.2901
0.0000,0.6364,-1.1097,2.2194,0.1380,3,16,0.1197,4,2.3037
0.0000,0.6545,-1.1414,2.2828,0.1357,2,16,0.1788,4,2.3172
0.0000,0.6727,-1.1731,2.3462,0.1339,2,16,0.1437,4,2.3052
0.0000,0.6909,-1.2048,2.4096,0.1323,2,16,0.1394,5,2.2953
0.0000,0.7091,-1.2365,2.4730,0.1310,2,16,0.1680,5,2.2875
0.0000,0.7273,-1.2682,2.5364,0.1299,2,13,0.2170,5,2.2819
0.0000,0.7455,-1.2999,2.5998,0.1288,2,13,0.2757,6,2.2785
0.0000,0.7636,-1.3316,2.6632,0.1278,2,12,0.3391,6,2.2773
0.0000,0.7818,-1.3633,2.7266,0.1268,2,12,0.4050,5,2.2783
0.0000,0.8000,-1.3950,2.7900,0.1259,2,11,0.4723,5,2.2815
0.0000,0.8182,-1.4267,2.8535,0.1250,2,14,0.4156,5,2.2870
0.0000,0.8364,-1.4584,2.9169,0.1241,2,13,0.3447,4,2.2945
0.0000,0.8545,-1.4901,2.9803,0.1234,2,13,0.2738,4,2.3043
0.0000,0.8727,-1.5218,3.0437,0.1230,2,14,0.2030,4,2.3162
0.0000,0.8909,-1.5535,3.1071,0.1229,1,15,0.1321,6,2.3049
0.0000,0.9091,-1.5853,3.1705,0.1231,1,15,0.0615,6,2.2912
0.0000,0.9273,-1.6170,3.2339,0.1238,1,16,0.0121,5,2.2795
