index,element,x,y,z,coordination_number,is_interfacial
0,Sr,0.000000,0.000000,9.922171,8,0
1,Sr,3.905000,0.000000,9.922171,8,0
2,Sr,3.905000,3.905000,9.922171,8,0
3,Sr,3.905000,7.810000,9.922171,8,0
4,Sr,3.905000,11.715000,9.922171,8,0
5,Sr,3.905000,15.620000,9.922171,8,0
6,Sr,7.810000,0.000000,9.922171,8,0
7,Sr,7.810000,3.905000,9.922171,8,0
8,Sr,7.810000,7.810000,9.922171,8,0
9,Sr,7.810000,11.715000,9.922171,8,0
10,Sr,7.810000,15.620000,9.922171,8,0
11,Sr,11.715000,0.000000,9.922171,8,0
12,Sr,11.715000,3.905000,9.922171,8,0
13,Sr,11.715000,7.810000,9.922171,8,0
14,Sr,11.715000,11.715000,9.922171,8,0
15,Sr,11.715000,15.620000,9.922171,8,0
16,Sr,15.620000,0.000000,9.922171,8,0
17,Sr,15.620000,3.905000,9.922171,8,0
18,Sr,15.620000,7.810000,9.922171,8,0
19,Sr,15.620000,11.715000,9.922171,8,0
20,Sr,15.620000,15.620000,9.922171,8,0
21,Sr,19.525000,3.905000,9.922171,8,0
22,Sr,19.525000,7.810000,9.922171,8,0
23,Sr,19.525000,11.715000,9.922171,8,0
24,Sr,19.525000,15.620000,9.922171,8,0
25,Sr,0.000000,0.000000,13.827171,12,0
26,Sr,3.905000,0.000000,13.827171,12,0
27,Sr,3.905000,3.905000,13.827171,12,0
28,Sr,3.905000,7.810000,13.827171,12,0
29,Sr,3.905000,11.715000,13.827171,12,0
30,Sr,3.905000,15.620000,13.827171,12,0
31,Sr,7.810000,0.000000,13.827171,12,0
32,Sr,7.810000,3.905000,13.827171,12,0
33,Sr,7.810000,7.810000,13.827171,12,0
34,Sr,7.810000,11.715000,13.827171,12,0
35,Sr,7.810000,15.620000,13.827171,12,0
36,Sr,11.715000,0.000000,13.827171,12,0
37,Sr,11.715000,3.905000,13.827171,12,0
38,Sr,11.715000,7.810000,13.827171,12,0
39,Sr,11.715000,11.715000,13.827171,12,0
40,Sr,11.715000,15.620000,13.827171,12,0
41,Sr,15.620000,0.000000,13.827171,12,0
42,Sr,15.620000,3.905000,13.827171,12,0
43,Sr,15.620000,7.810000,13.827171,12,0
44,Sr,15.620000,11.715000,13.827171,12,0
45,Sr,15.620000,15.620000,13.827171,12,0
46,Sr,19.525000,3.905000,13.827171,12,0
47,Sr,19.525000,7.810000,13.827171,12,0
48,Sr,19.525000,11.715000,13.827171,12,0
49,Sr,19.525000,15.620000,13.827171,12,0
50,Sr,3.945382,19.504902,17.698320,12,0
51,Sr,7.900404,19.512152,17.735979,12,0
52,Sr,3.946921,3.825847,17.710160,12,0
53,Sr,3.936482,7.953757,17.683193,12,0
54,Sr,3.889026,11.820256,17.806115,12,0
55,Sr,3.853275,15.684005,17.872307,11,0
56,Sr,11.743972,19.514499,17.896036,12,0
57,Sr,7.729863,3.857906,17.732882,11,0
58,Sr,7.725265,7.840305,17.639378,11,0
59,Sr,7.729082,11.762068,17.680206,12,0
60,Sr,7.776924,15.639253,17.707558,12,0
61,Sr,15.556748,19.478804,17.871407,11,0
62,Sr,11.667252,3.824654,17.799313,11,0
63,Sr,11.755313,7.794002,17.668293,11,0
64,Sr,11.622182,11.759985,17.677023,11,0
65,Sr,11.657279,15.612801,17.795380,11,0
66,Sr,15.620071,0.052452,17.758903,11,0
67,Sr,15.617421,3.930622,17.803660,9,0
68,Sr,15.792476,7.827890,17.768176,9,0
69,Sr,15.660028,11.687677,17.859443,10,0
70,Sr,15.514373,15.542716,17.871783,11,0
71,Sr,19.571503,3.898589,17.717386,11,0
72,Sr,19.611712,7.871672,17.612207,10,0
73,Sr,19.655013,11.832984,17.820227,12,0
